TIPO DE MORTE;ANO;MÊS;DIA;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;ZONA
HOMICIDIO;2014;1;sábado;20:00-24:00;AREIA PRETA;AV GOVERNADOR SILVIO PEDROSA;MASCULINO;NEGRA;31;DECORADOR;ENSINO SUPERIOR;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;5;domingo;16:00-20:00;NOSSA SRA DA APRESENTAÇÃO;AV INDUSTRIAL;MASCULINO;NEGRA;21;ABATEDOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2012;10;domingo;NI;MÃE LUÍZA;ENTRE A TV CAMARAGIBE COM ANTONIO FELIX;MASCULINO;NEGRA;24;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2012;12;domingo;NI;MÃE LUÍZA;R ALTO DA COLINA E A 5 TV JOAO XXIII;MASCULINO;NEGRA;19;SEM PROFISSAO;NI;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2012;1;domingo;20:00-24:00;MÃE LUÍZA;R ATALAIA;MASCULINO;PARDA;48;SERVIDOR PUBLICO;ENSINO SUPERIOR;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;10;domingo;00:00-04:00;MÃE LUÍZA;R GUANABARA;MASCULINO;PARDA;24;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2014;6;domingo;NI;MÃE LUÍZA;R GUANABARA;MASCULINO;NEGRA;41;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2013;6;domingo;12:00-16:00;BOM PASTOR;TV LIMA E SILVA Nº 2;MASCULINO;PARDA;58;AUXILIAR DE ALMOXARIFADO DE OBRAS;ENSINO MEDIO COMPLETO;ARMA BRANCA;Oeste
HOMICIDIO;2014;7;domingo;16:00-20:00;MÃE LUÍZA;R JOAO XXIII, ESQUINA DA 4ª TV, PROXIMO A IGREJA;MASCULINO;NEGRA;29;BISCATEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2014;5;domingo;NI;POTENGI;CONJUNTO SANTA CATARINA;MASCULINO;NEGRA;30;AUXILIAR DE ALMOXARIFADO DE OBRAS;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;2;domingo;00:00-04:00;MÃE LUÍZA;R NOVA Nº 02;MASCULINO;PARDA;36;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2012;6;domingo;20:00-24:00;MÃE LUÍZA;R PRES GONCALVES Nº 849;MASCULINO;NEGRA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2013;5;domingo;16:00-20:00;MÃE LUÍZA;TV ATALAIA, DE FRENTE A RESIDENCIA DE Nº 557;MASCULINO;PARDA;30;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2014;2;domingo;16:00-20:00;MÃE LUÍZA;TV LARGO DO FAROL Nº 02;MASCULINO;NEGRA;21;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2016;5;domingo;16:00-20:00;CIDADE DA ESPERANÇA;NI;MASCULINO;PARDA;43;AGRICULTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2015;12;domingo;04:00-08:00;MÃE LUÍZA;NA FEIRA PUBLICA;MASCULINO;PARDA;44;ARTESAO;ENSINO SUPERIOR;ARMA DE FOGO;Leste
HOMICIDIO;2015;10;domingo;20:00-24:00;MÃE LUÍZA;R CAMARAGIBE;MASCULINO;NEGRA;29;CARROCEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2012;8;domingo;NI;CIDADE NOVA;R PADRE CICERO ,PROX. AO TERMINAL DA LINHA 40;MASCULINO;BRANCA;51;AGRICULTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;11;domingo;04:00-08:00;MÃE LUÍZA;R NOVA;MASCULINO;PARDA;20;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2014;11;domingo;16:00-20:00;MÃE LUÍZA;R SAQUAREMA;MASCULINO;NEGRA;30;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;7;domingo;08:00-12:00;MÃE LUÍZA;TV ATALAIA COM TV. GUANABARA;MASCULINO;PARDA;25;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;4;domingo;12:00-16:00;TIROL;R EXPEDICIONARIO JOSE MONTEIRO ;FEMININO;NEGRA;39;AUXILIAR DE COZINHA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2017;7;domingo;12:00-16:00;MÃE LUÍZA;RUA SAO JOSE, PROXIMO AO BAR DE TIQUINHA, PROXIMO A PADARIA, NA LOCALIDADE CONHECIDA COMO BACIA, PROXIMO AO FAROL DE AME LUIZA;MASCULINO;PARDA;32;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2015;12;domingo;20:00-24:00;NOSSA SRA DA APRESENTAÇÃO;R CEL PESSOA EM FRENTE AO Nº 85 JARDIM PRIMAVERA;MASCULINO;NEGRA;27;AUXILIAR DE ELETRICISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;10;domingo;20:00-24:00;GUARAPES;GRANJA DA PONTE , S/N;MASCULINO;PARDA;65;AGRICULTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;2;domingo;20:00-24:00;DIX-SEPT ROSADO;TV SEVERINO DE PAIVA , EM FRENTE AO N° 35 - A VP;MASCULINO;BRANCA;21;AUXILIAR DE PIZZAIOLO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;12;domingo;04:00-08:00;PONTA NEGRA;R ALTO DA BOA VISTA, 383;MASCULINO;PARDA;28;NI;NI;ARMA DE FOGO;Sul
HOMICIDIO;2016;5;domingo;20:00-24:00;PONTA NEGRA;R DO CURRUPIO, EM FRENTE AO Nº 190;MASCULINO;NEGRA;26;DESEMPREGADO;NI;ARMA DE FOGO;Sul
HOMICIDIO;2016;10;domingo;16:00-20:00;PONTA NEGRA;TV PRAIA DOS REIS , 10;MASCULINO;PARDA;47;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2017;4;domingo;04:00-08:00;PONTA NEGRA;RUA INACIO VALE, Nº 04 PROXIMO AO HOTEL RIFFOLES;MASCULINO;PARDA;20;VENDEDOR;NI;PEDRADA;Sul
LATROCINIO;2017;4;domingo;04:00-08:00;PONTA NEGRA;AV PRAIA DE GENIPABU EM FRENTE AO CONDOMINIO MARIA CLARA, PROXIMO AO PLANETA ANIMAL, PROXIMO AO PRAIA SHOPPING;MASCULINO;PARDA;59;MOTORISTA;NI;ARMA DE FOGO;Sul
HOMICIDIO;2017;9;domingo;04:00-08:00;PONTA NEGRA;AV ENGENHEIRO ROBERTO FREIRE - POR TRAS DA BOATE WOODS;FEMININO;PARDA;16;ESTUDANTE;NI;ESPANCAMENTO;Sul
HOMICIDIO;2012;1;domingo;20:00-24:00;REDINHA;R BEIRA RIO, PROX AO RIO DOCE;MASCULINO;NEGRA;57;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Norte
HOMICIDIO;2017;10;domingo;16:00-20:00;REDINHA;RUA TORRE DA ESPERANÇA, PROXIMO AO GALPAO, PROXIMO A RESIDENCIA DA VITIMA;MASCULINO;PARDA;26;PINTOR DE CARRO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;10;domingo;16:00-20:00;REDINHA;RUA TORRE DA ESPERANÇA, PROXIMO AO GALPAO, PROXIMO A RESIDENCIA DA VITIMA;MASCULINO;PARDA;16;DESEMPREGADO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;8;domingo;00:00-04:00;REDINHA;AV LITORANEA, LOCAL CONHECIDO COMO ARENA DE LUXO, CASA DE LUCIANO EQUIPADORA, PROXIMO A GABI BEBIDAS;MASCULINO;PARDA;19;ESTUDANTE;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;11;domingo;00:00-04:00;LAGOA AZUL;R AMELIA CRISTINA - BAR DO JOSE;MASCULINO;NEGRA;24;BALCONISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;3;domingo;NI;REDINHA;MERCADO PUBLICO DA REDINHA;MASCULINO;NEGRA;23;PESCADOR;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;9;domingo;12:00-16:00;REDINHA;PRAIA DA REDINHA;MASCULINO;PARDA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
